po_id,purchase_date,vendor,category,business_unit,item_description,quantity,unit_price_usd,total_spend_usd,contract_term_months,renewal_date,utilization_pct,status
PO-00001,2023-10-13,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,203464.56,203464.56,36,2026-09-27,96,Pending Renewal
PO-00002,2024-04-21,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,1,11466.72,11466.72,60,2029-03-26,89,Pending Renewal
PO-00003,2025-05-09,HPE,Server Hardware,Consumer Products,HPE Server Hardware,21,33949.02,712929.42,12,2026-05-04,51,In Procurement
PO-00004,2023-11-15,HPE,Server Hardware,Consumer Products,HPE Server Hardware,14,20589.27,288249.78,12,2024-11-09,73,In Procurement
PO-00005,2024-12-05,NetApp,Storage,Core Payments,NetApp Storage,4,37728.35,150913.40,60,2029-11-09,67,Active
PO-00006,2025-01-10,Microsoft,Software License,Data Platform,Microsoft Software License,41,138234.14,5667599.74,36,2027-12-26,74,Active
PO-00007,2023-06-13,AWS,Cloud Services,Core Payments,AWS Cloud Services,1,620723.99,620723.99,12,2024-06-07,82,Active
PO-00008,2024-06-30,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,290663.85,290663.85,36,2027-06-15,51,Retired
PO-00009,2024-05-16,AWS,Cloud Services,Corporate IT,AWS Cloud Services,1,431970.50,431970.50,12,2025-05-11,51,Retired
PO-00010,2023-04-25,GCP,Cloud Services,Fraud & Risk,GCP Cloud Services,1,675853.02,675853.02,12,2024-04-19,72,In Procurement
PO-00011,2026-03-07,Lenovo,Server Hardware,Data Platform,Lenovo Server Hardware,9,10448.98,94040.82,60,2031-02-09,55,Active
PO-00012,2026-02-23,Azure,Cloud Services,Fraud & Risk,Azure Cloud Services,1,120307.95,120307.95,36,2029-02-07,97,Active
PO-00013,2023-10-11,GCP,Cloud Services,Data Platform,GCP Cloud Services,1,295977.19,295977.19,36,2026-09-25,31,In Procurement
PO-00014,2025-05-14,HPE,Server Hardware,Consumer Products,HPE Server Hardware,6,37306.94,223841.64,60,2030-04-18,69,Active
PO-00015,2026-02-07,HP,Laptops,Corporate IT,HP Laptops,249,2575.70,641349.30,12,2027-02-02,63,Pending Renewal
PO-00016,2025-06-09,Okta,Security,Consumer Products,Okta Security,22,24521.63,539475.86,12,2026-06-04,58,Pending Renewal
PO-00017,2023-08-06,GCP,Cloud Services,Merchant Services,GCP Cloud Services,1,411068.52,411068.52,36,2026-07-21,58,Pending Renewal
PO-00018,2025-12-22,Arista,Network Hardware,Merchant Services,Arista Network Hardware,3,67028.59,201085.77,12,2026-12-17,97,Pending Renewal
PO-00019,2024-09-21,Pure Storage,Storage,Core Payments,Pure Storage Storage,1,233338.17,233338.17,12,2025-09-16,100,Active
PO-00020,2023-09-15,Supermicro,Server Hardware,Core Payments,Supermicro Server Hardware,25,27710.13,692753.25,12,2024-09-09,84,Retired
PO-00021,2025-05-16,Lenovo,Laptops,Merchant Services,Lenovo Laptops,280,3468.33,971132.40,12,2026-05-11,100,Retired
PO-00022,2025-06-16,Juniper,Network Hardware,Data Platform,Juniper Network Hardware,11,79735.98,877095.78,60,2030-05-21,52,Active
